task,display_system,slots,n,unscored,status_counts,mean_original_points,mean_60_points,passes_60,pass_at_1,pass_at_8,pass_k_reason
A1,GPT-5.6 sol,8,8,0,"{""SCORED"": 8}",90.4508224864419503,90.8409114391338393192307692307692307692307692307625,7,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.
A1,Opus 5,8,7,1,"{""SCORED"": 7, ""JUDGE_ERROR"": 1}",55.9107471775212089428571428571428571428571428571428571428571,50.5504160818303745142857142857142857142857142857142857142857,1,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.
A1,Qwen 3.8,8,8,0,"{""SCORED"": 8}",91.117550734514616,90.7859451997343886923076923076923076923076923076923076923077,8,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.
A2,GPT-5.6 sol,8,7,1,"{""JUDGE_ERROR"": 1, ""SCORED"": 7}",93.1954887218045112781954887218045112781954285714285714285714,93.0263157894736842105263157894736842105262857142857142857143,7,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.
A2,Opus 5,8,2,6,"{""SCORED"": 2, ""JUDGE_ERROR"": 5, ""OUTPUT_MISSING"": 1}",32.3862666945379765429029852432713385008245,28.87561509909380578969966780411742107522975,0,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.
A2,Qwen 3.8,8,1,7,"{""JUDGE_ERROR"": 3, ""FINAL_OUTPUT_NOT_COLLECTED"": 4, ""SCORED"": 1}",76.4838647714175950825970034575489819439115,75.83317326162120630042258932001536688436575,1,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.
B1,GPT-5.6 sol,8,8,0,"{""SCORED"": 8}",99.6691101738531985,99.779869658304725862637362637362637362637362637375,8,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.
B1,Opus 5,8,3,5,"{""JUDGE_ERROR"": 4, ""OUTPUT_MISSING"": 1, ""SCORED"": 3}",57.1618107465867278716666666666666666666666666666666666666667,67.0242807687582949906227106227106227106227106227,2,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.
B1,Qwen 3.8,8,3,5,"{""JUDGE_ERROR"": 5, ""SCORED"": 3}",99.9333333333333333333333333333333333333333333333333333333333,99.9589743589743589743589743589743589743589743589743589743590,3,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.
B2,GPT-5.6 sol,8,8,0,"{""SCORED"": 8}",90.4977678571428575875,88.0398351648351660978021978021978021978021978021875,8,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.
B2,Opus 5,8,3,5,"{""JUDGE_ERROR"": 4, ""OUTPUT_MISSING"": 1, ""SCORED"": 3}",55.9246272246272257666666666666666666666666666666666666666667,53.8453546453546469186813186813186813186813186813333333333333,0,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.
B2,Qwen 3.8,8,5,3,"{""SCORED"": 5, ""JUDGE_ERROR"": 2, ""FINAL_OUTPUT_NOT_COLLECTED"": 1}",94.3190476190476184,90.4967032967032954989010989010989010989010989010989010989011,5,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.
C1,GPT-5.6 sol,8,8,0,"{""SCORED"": 8}",89.85125953408058216581107453552025967804875,92.91850085040410407528173148674156448415067307695,8,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.
C1,Opus 5,8,2,6,"{""JUDGE_ERROR"": 5, ""OUTPUT_MISSING"": 1, ""SCORED"": 2}",42.42808205556549927410854563172443967146,26.10958895727107647637448961952273210551384615385,0,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.
C1,Qwen 3.8,8,1,7,"{""JUDGE_ERROR"": 7, ""SCORED"": 1}",79.880861281667501074353939312188664333785,77.5855467418957197246860362322498803926984615384615384615385,1,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.
C2,GPT-5.6 sol,8,8,0,"{""SCORED"": 8}",78.6393190143190143190143190139125,73.3060144983221906298829375749076923076923076923,5,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.
C2,Opus 5,8,3,5,"{""JUDGE_ERROR"": 3, ""SCORED"": 3, ""OUTPUT_MISSING"": 2}",63.3446860679003536146393289238333333333333333333333333333333,44.8088511000598912686824774723589743589743589743333333333333,0,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.
C2,Qwen 3.8,8,5,3,"{""JUDGE_ERROR"": 3, ""SCORED"": 5}",77.06480091337234194377051519946,73.9979194431941684688937436196676923076923076923076923076923,3,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.
